Word,Count
issue,697
staters,696
benefit,694
del,689
step,688
healthcare,686
texans,683
mexicans,682
senator,681
pa,664
opportunity,659
alabama,658
al,648
love,648
gop,642
marianas,636
assistance,632
look,632
ago,630
month,629
russia,626
cicilline,622
chairman,605
un,603
judge,600
fire,600
below,600
affordable,595
money,591
city,589
massachusetts,588
social,574
deliver,573
island,570
police,570
michigander,567
sacramento,567
hour,566
queens,561
news,560
way,560
coloradans,547
vt,540
klobuchar,540
baltimore,539
putin,538
nc,536
su,517
dictator,512
team,504
announce,503
farmer,496
dark,494
iowans,491
land,490
high,488
rioter,486
leave,484
maternal,480
save,480
con,478
try,475
wny,475
secure,473
pm,471
tampa,466
kim,464
forget,463
arizonans,461
flapol,461
never,460
ulster,457
committee,455
bring,453
case,452
eastern,451
also,451
georgians,447
economic,442
kansas,442
covid,440
ransack,438
una,437
finish,435
later,433
win,431
impeachment,431
united,430
neighbor,428
science,427
birthday,426
only,425
million,424
leahy,423
vegas,420
leader,418
union,413
buffalo,409
fuel,407
louis,406
philadelphia,400
release,399
dallas,398
hoy,397
war,395
move,395
jackson,391
budget,390
check,389
hunger,388
oil,386
senior,385
immigrant,384
reminder,378
en,376
david,376
perdue,369
information,369
mapoli,365
hearing,365
john,361
sexual,361
todo,359
hampton,357
nv,357
oregonians,357
vermonter,357
tune,353
missouri,349
netneutrality,347
floor,347
pennsylvania,345
fund,345
louisiana,345
follow,344
single,343
drug,342
asian,340
cm,340
report,338
safety,338
mepolitic,334
supreme,334
insurrectionist,334
vtpoli,333
puerto,333
inflation,329
nashville,327
childtaxcredit,325
nuestra,323
test,322
detroit,322
coastal,322
montanans,322
invest,321
grant,321
bronx,317
party,317
disability,316
native,312
policy,308
environmental,308
marylander,307
alaska,307
freedom,306
pleased,304
portland,304
boston,303
hbcu,302
tribal,301
indiana,299
disaster,297
va,295
nepa,294
orange,294
put,293
az,292
mississippi,291
sound,288
georgian,288
transportation,287
introduce,286
immigration,286
payne,283
yesterday,283
constituent,282
give,280
tennessee,279
mainer,275
green,274
racial,273
nm,272
click,268
fossil,266
philly,265
dems,264
flint,264
wage,264
lee,263
michiganders,263
hawaiʻi,260
mid,260
inland,258
congresswoman,258
start,258
wi,257
mahalo,257
staff,256
saipan,255
miner,254
ocean,253
empire,252
hartford,251
block,249
louisville,248
newark,247
essexcounty,247
maxine,247
mccarthy,246
update,246
consumer,246
loan,245
unioncounty,244
regular,243
corporation,243
austin,243
hudsoncounty,242
socialsecurity,241
system,239
twitter,238
voter,236
laredo,235
instagram,231
addiction,229
navy,227
broadband,227
pacific,227
pbc,227
wish,226
más,226
butterfield,225
profit,224
ms,223
monterey,223
rochester,222
icymi,221
sign,221
antonio,221
waters,220
burlington,219
states,219
filibuster,216
sheila,215
garamendi,215
stockton,214
atlanta,214
rights,213
memphis,212
capital,212
lehigh,210
open,208
jacksonville,207
recovery,207
rico,206
taxpayer,205
cybersecurity,204
enough,204
early,203
no,203
contra,201
leadership,200
cyber,200
paul,199
fresno,198
beach,197
uvalde,196
result,196
think,195
costa,195
santa,195
hard,194
lewis,193
pres,192
detail,192
corporate,189
question,187
cruz,187
officer,185
dreamer,184
hoosier,183
investigation,183
death,183
always,182
tinian,182
jon,182
wisconsinites,182
emmett,181
ventura,181
troop,181
power,179
o,179
aviation,179
boggs,178
delay,178
graduate,178
miami,178
tell,177
rsvp,177
latino,177
attend,176
ohioans,176
delegation,176
next,176
credit,176
wake,176
substance,175
lgbtq,175
donor,174
racism,173
attack,173
manufacturing,173
special,171
fair,171
base,171
schatz,170
niagara,169
fact,169
southern,168
cosponsor,168
mueller,168
fightingfifth,167
salt,166
story,166
again,165
venturacounty,164
western,163
selma,162
host,162
brooklyn,162
ca,161
tx,161
happen,161
co,160
inlandempire,160
group,160
m,160
minnesotans,160
everyday,158
hero,157
kansans,157
history,157
sacramentocounty,157
human,156
kevin,156
lynching,156
interest,155
teamdutch,155
terrorist,154
pressley,153
w,152
abbott,152
chester,152
charlotte,152
hate,152
pittsburgh,151
bernardino,151
rep,151
congratulation,149
nuclear,149
peter,148
most,148
morning,148
cnmi,147
teamtitus,146
industry,146
pro,146
lake,145
tn,145
trade,145
se,145
burn,143
ban,142
davis,142
education,140
nmi,140
teammaryland,139
ossoff,139
pentagon,139
vaccinate,137
assault,137
gwinnett,136
yutu,136
patrick,136
malinowski,135
scott,134
rule,134
raleigh,133
daca,133
chaos,133
alaskans,132
harlem,132
ulstercounty,131
graduation,130
share,130
deal,130
much,130
appropriations,130
am,129
low,129
letter,129
attn,129
apply,128
childcare,128
everett,128
cancelstudentdebt,128
till,128
political,128
northern,128
disclose,127
conference,126
especially,125
typhoon,124
mi,123
face,122
albany,121
hair,120
telephone,120
lose,120
cannabis,119
este,119
virgin,119
emergency,119
press,118
ayanna,118
defense,118
fema,117
lakes,116
lie,116
china,116
annual,115
still,114
tallahassee,114
executive,113
pat,113
very,113
conversation,112
center,112
medium,112
impeach,111
rota,111
marcelle,108
university,108
register,107
cut,107
delta,105
vistrong,105
cmfcsummit,105
islands,105
dejoy,104
momnibus,104
one,102
foreign,100
latinos,100
congrat,99
hawaiian,99
microchip,97
rockland,96
thing,93
jose,92
sen,90
fish,90
reform,90
guy,90
ranking,90
maga,89
mn,89
columbus,88
far,85
plymouth,77
fishery,76
lot,75
mobile,67
usa,67
alaskan,64
northwest,63
choose,61
campaign,61
candidate,56
salmon,56
appreciate,48
steel,48
agency,47
guam,47
improve,38
recently,32
gary,27
haiti,22
haitian,17
lower,17
parent,7
class,6
nicolas,5
medicaid,4
republic,4
financial,4
natural,3
passage,3
represent,3
gala,3
secretary,3
claim,3
buildup,3
liberation,3
resources,3
hr,3
ii,3
